instant,dteday,season,year,month,hour,holiday,weekday,weather,temperature,feeling_temperature,humidity,wind_speed,casual,registered,total_rent,day_category,humidity_category
21,2011-01-01,Spring,2011,January,20,No,Saturday,Mist,0.4,0.4091,87.0,0.2537,11,25,36,Weekend,High
22,2011-01-01,Spring,2011,January,21,No,Saturday,Mist,0.4,0.4091,87.0,0.194,3,31,34,Weekend,High
23,2011-01-01,Spring,2011,January,22,No,Saturday,Mist,0.4,0.4091,94.0,0.2239,11,17,28,Weekend,High
24,2011-01-01,Spring,2011,January,23,No,Saturday,Mist,0.46,0.4545,88.0,0.2985,15,24,39,Weekend,High
25,2011-01-02,Spring,2011,January,0,No,Sunday,Mist,0.46,0.4545,88.0,0.2985,4,13,17,Weekend,High
26,2011-01-02,Spring,2011,January,1,No,Sunday,Mist,0.44,0.4394,94.0,0.2537,1,16,17,Weekend,High
27,2011-01-02,Spring,2011,January,2,No,Sunday,Mist,0.42,0.4242,100.0,0.2836,1,8,9,Weekend,High
28,2011-01-02,Spring,2011,January,3,No,Sunday,Mist,0.46,0.4545,94.0,0.194,2,4,6,Weekend,High
29,2011-01-02,Spring,2011,January,4,No,Sunday,Mist,0.46,0.4545,94.0,0.194,2,1,3,Weekend,High
30,2011-01-02,Spring,2011,January,6,No,Sunday,Light Rain,0.42,0.4242,77.0,0.2985,0,2,2,Weekend,High
31,2011-01-02,Spring,2011,January,7,No,Sunday,Mist,0.4,0.4091,76.0,0.194,0,1,1,Weekend,High
32,2011-01-02,Spring,2011,January,8,No,Sunday,Light Rain,0.4,0.4091,71.0,0.2239,0,8,8,Weekend,High
33,2011-01-02,Spring,2011,January,9,No,Sunday,Mist,0.38,0.3939,76.0,0.2239,1,19,20,Weekend,High
34,2011-01-02,Spring,2011,January,10,No,Sunday,Mist,0.36,0.3485,81.0,0.2239,7,46,53,Weekend,High
35,2011-01-02,Spring,2011,January,11,No,Sunday,Mist,0.36,0.3333,71.0,0.2537,16,54,70,Weekend,High
36,2011-01-02,Spring,2011,January,12,No,Sunday,Mist,0.36,0.3333,66.0,0.2985,20,73,93,Weekend,High
37,2011-01-02,Spring,2011,January,13,No,Sunday,Mist,0.36,0.3485,66.0,0.1343,11,64,75,Weekend,High
38,2011-01-02,Spring,2011,January,14,No,Sunday,Light Rain,0.36,0.3485,76.0,0.194,4,55,59,Weekend,High
39,2011-01-02,Spring,2011,January,15,No,Sunday,Light Rain,0.34,0.3333,81.0,0.1642,19,55,74,Weekend,High
40,2011-01-02,Spring,2011,January,16,No,Sunday,Light Rain,0.34,0.3333,71.0,0.1642,9,67,76,Weekend,High
41,2011-01-02,Spring,2011,January,17,No,Sunday,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,Weekend,Normal
42,2011-01-02,Spring,2011,January,18,No,Sunday,Mist,0.36,0.3333,46.0,0.3284,10,43,53,Weekend,Normal
43,2011-01-02,Spring,2011,January,19,No,Sunday,Clear,0.32,0.2879,42.0,0.4478,1,29,30,Weekend,Normal
44,2011-01-02,Spring,2011,January,20,No,Sunday,Clear,0.3,0.2727,39.0,0.3582,5,17,22,Weekend,Normal
45,2011-01-02,Spring,2011,January,21,No,Sunday,Clear,0.26,0.2273,44.0,0.3284,11,20,31,Weekend,Normal
46,2011-01-02,Spring,2011,January,22,No,Sunday,Clear,0.24,0.2121,44.0,0.2985,0,9,9,Weekend,Normal
47,2011-01-02,Spring,2011,January,23,No,Sunday,Clear,0.22,0.2273,47.0,0.1642,0,8,8,Weekend,Normal
48,2011-01-03,Spring,2011,January,0,No,Monday,Clear,0.22,0.197,44.0,0.3582,0,5,5,Weekday,Normal
49,2011-01-03,Spring,2011,January,1,No,Monday,Clear,0.2,0.1667,44.0,0.4179,0,2,2,Weekday,Normal
50,2011-01-03,Spring,2011,January,4,No,Monday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,Weekday,Normal
51,2011-01-03,Spring,2011,January,5,No,Monday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,Weekday,Normal
52,2011-01-03,Spring,2011,January,6,No,Monday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,Weekday,Normal
53,2011-01-03,Spring,2011,January,7,No,Monday,Clear,0.14,0.1364,50.0,0.194,1,63,64,Weekday,Normal
54,2011-01-03,Spring,2011,January,8,No,Monday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,Weekday,Normal
55,2011-01-03,Spring,2011,January,9,No,Monday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,Weekday,Normal
56,2011-01-03,Spring,2011,January,10,No,Monday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,Weekday,Normal
57,2011-01-03,Spring,2011,January,11,No,Monday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,Weekday,Normal
58,2011-01-03,Spring,2011,January,12,No,Monday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,Weekday,Normal
59,2011-01-03,Spring,2011,January,13,No,Monday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,Weekday,Normal
60,2011-01-03,Spring,2011,January,14,No,Monday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,Weekday,Low
61,2011-01-03,Spring,2011,January,15,No,Monday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,Weekday,Low
62,2011-01-03,Spring,2011,January,16,No,Monday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,Weekday,Low
63,2011-01-03,Spring,2011,January,17,No,Monday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,Weekday,Low
64,2011-01-03,Spring,2011,January,18,No,Monday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,Weekday,Normal
65,2011-01-03,Spring,2011,January,19,No,Monday,Clear,0.2,0.2576,47.0,0.0,8,102,110,Weekday,Normal
66,2011-01-03,Spring,2011,January,20,No,Monday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,Weekday,Normal
67,2011-01-03,Spring,2011,January,21,No,Monday,Clear,0.18,0.197,64.0,0.1343,3,49,52,Weekday,High
68,2011-01-03,Spring,2011,January,22,No,Monday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,Weekday,High
69,2011-01-03,Spring,2011,January,23,No,Monday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,Weekday,Normal
70,2011-01-04,Spring,2011,January,0,No,Tuesday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,Weekday,Normal
71,2011-01-04,Spring,2011,January,1,No,Tuesday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,Weekday,Normal
72,2011-01-04,Spring,2011,January,2,No,Tuesday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,Weekday,High
73,2011-01-04,Spring,2011,January,4,No,Tuesday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,Weekday,High
74,2011-01-04,Spring,2011,January,5,No,Tuesday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,Weekday,High
75,2011-01-04,Spring,2011,January,6,No,Tuesday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,Weekday,High
76,2011-01-04,Spring,2011,January,7,No,Tuesday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,Weekday,High
77,2011-01-04,Spring,2011,January,8,No,Tuesday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,Weekday,High
78,2011-01-04,Spring,2011,January,9,No,Tuesday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,Weekday,High
79,2011-01-04,Spring,2011,January,10,No,Tuesday,Mist,0.16,0.1364,69.0,0.3284,5,37,42,Weekday,High
80,2011-01-04,Spring,2011,January,11,No,Tuesday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,Weekday,Normal
81,2011-01-04,Spring,2011,January,12,No,Tuesday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,Weekday,Normal
82,2011-01-04,Spring,2011,January,13,No,Tuesday,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,Weekday,Normal
83,2011-01-04,Spring,2011,January,14,No,Tuesday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,Weekday,Normal
84,2011-01-04,Spring,2011,January,15,No,Tuesday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,Weekday,Normal
85,2011-01-04,Spring,2011,January,16,No,Tuesday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,Weekday,Normal
86,2011-01-04,Spring,2011,January,17,No,Tuesday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,Weekday,Normal
87,2011-01-04,Spring,2011,January,18,No,Tuesday,Clear,0.26,0.2576,48.0,0.194,3,179,182,Weekday,Normal
88,2011-01-04,Spring,2011,January,19,No,Tuesday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,Weekday,Normal
89,2011-01-04,Spring,2011,January,20,No,Tuesday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,Weekday,Normal
90,2011-01-04,Spring,2011,January,21,No,Tuesday,Clear,0.22,0.2727,64.0,0.0,0,48,48,Weekday,High
91,2011-01-04,Spring,2011,January,22,No,Tuesday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,Weekday,High
92,2011-01-04,Spring,2011,January,23,No,Tuesday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,Weekday,High
93,2011-01-05,Spring,2011,January,0,No,Wednesday,Clear,0.2,0.2576,64.0,0.0,0,6,6,Weekday,High
94,2011-01-05,Spring,2011,January,1,No,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,6,6,Weekday,High
95,2011-01-05,Spring,2011,January,2,No,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,2,2,Weekday,High
96,2011-01-05,Spring,2011,January,4,No,Wednesday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,Weekday,Normal
97,2011-01-05,Spring,2011,January,5,No,Wednesday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,Weekday,Normal
98,2011-01-05,Spring,2011,January,6,No,Wednesday,Clear,0.2,0.197,47.0,0.2239,0,33,33,Weekday,Normal
99,2011-01-05,Spring,2011,January,7,No,Wednesday,Clear,0.18,0.1818,43.0,0.194,1,87,88,Weekday,Normal
100,2011-01-05,Spring,2011,January,8,No,Wednesday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,Weekday,Normal
101,2011-01-05,Spring,2011,January,9,No,Wednesday,Clear,0.22,0.197,37.0,0.3284,6,109,115,Weekday,Normal
102,2011-01-05,Spring,2011,January,10,No,Wednesday,Clear,0.22,0.197,37.0,0.3284,4,53,57,Weekday,Normal
103,2011-01-05,Spring,2011,January,11,No,Wednesday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,Weekday,Normal
104,2011-01-05,Spring,2011,January,12,No,Wednesday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,Weekday,Normal
105,2011-01-05,Spring,2011,January,13,No,Wednesday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,Weekday,Low
106,2011-01-05,Spring,2011,January,14,No,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,Weekday,Low
107,2011-01-05,Spring,2011,January,15,No,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,Weekday,Low
108,2011-01-05,Spring,2011,January,16,No,Wednesday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,Weekday,Low
109,2011-01-05,Spring,2011,January,17,No,Wednesday,Clear,0.24,0.2273,38.0,0.194,4,186,190,Weekday,Normal
110,2011-01-05,Spring,2011,January,18,No,Wednesday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,Weekday,Normal
111,2011-01-05,Spring,2011,January,19,No,Wednesday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,Weekday,Normal
112,2011-01-05,Spring,2011,January,20,No,Wednesday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,Weekday,Normal
113,2011-01-05,Spring,2011,January,21,No,Wednesday,Clear,0.2,0.197,51.0,0.194,3,40,43,Weekday,Normal
114,2011-01-05,Spring,2011,January,22,No,Wednesday,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,Weekday,Normal
115,2011-01-05,Spring,2011,January,23,No,Wednesday,Clear,0.2,0.2576,47.0,0.0,1,18,19,Weekday,Normal
116,2011-01-06,Spring,2011,January,0,No,Thursday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,Weekday,Normal
117,2011-01-06,Spring,2011,January,1,No,Thursday,Clear,0.16,0.2273,64.0,0.0,0,4,4,Weekday,High
118,2011-01-06,Spring,2011,January,2,No,Thursday,Clear,0.16,0.2273,64.0,0.0,0,2,2,Weekday,High
119,2011-01-06,Spring,2011,January,4,No,Thursday,Mist,0.16,0.197,64.0,0.0896,0,1,1,Weekday,High
120,2011-01-06,Spring,2011,January,5,No,Thursday,Mist,0.14,0.1818,69.0,0.0896,0,4,4,Weekday,High
121,2011-01-06,Spring,2011,January,6,No,Thursday,Mist,0.14,0.1667,63.0,0.1045,0,36,36,Weekday,High
122,2011-01-06,Spring,2011,January,7,No,Thursday,Mist,0.16,0.2273,59.0,0.0,0,95,95,Weekday,Normal
123,2011-01-06,Spring,2011,January,8,No,Thursday,Clear,0.16,0.2273,59.0,0.0,3,216,219,Weekday,Normal
124,2011-01-06,Spring,2011,January,9,No,Thursday,Mist,0.18,0.2424,51.0,0.0,6,116,122,Weekday,Normal
125,2011-01-06,Spring,2011,January,10,No,Thursday,Clear,0.2,0.2576,47.0,0.0,3,42,45,Weekday,Normal
126,2011-01-06,Spring,2011,January,11,No,Thursday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,Weekday,Normal
127,2011-01-06,Spring,2011,January,12,No,Thursday,Clear,0.26,0.2879,35.0,0.0,6,78,84,Weekday,Normal
128,2011-01-06,Spring,2011,January,13,No,Thursday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,Weekday,Normal
129,2011-01-06,Spring,2011,January,14,No,Thursday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,Weekday,Normal
130,2011-01-06,Spring,2011,January,15,No,Thursday,Clear,0.28,0.2727,36.0,0.0,8,54,62,Weekday,Normal
131,2011-01-06,Spring,2011,January,16,No,Thursday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,Weekday,Normal
132,2011-01-06,Spring,2011,January,17,No,Thursday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,Weekday,Normal
133,2011-01-06,Spring,2011,January,18,No,Thursday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,Weekday,Normal
134,2011-01-06,Spring,2011,January,19,No,Thursday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,Weekday,Normal
135,2011-01-06,Spring,2011,January,20,No,Thursday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,Weekday,Normal
136,2011-01-06,Spring,2011,January,21,No,Thursday,Mist,0.22,0.2121,55.00000000000001,0.2239,0,48,48,Weekday,Normal
137,2011-01-06,Spring,2011,January,22,No,Thursday,Mist,0.22,0.2121,51.0,0.2836,1,51,52,Weekday,Normal
138,2011-01-06,Spring,2011,January,23,No,Thursday,Mist,0.2,0.197,59.0,0.194,4,19,23,Weekday,Normal
139,2011-01-07,Spring,2011,January,0,No,Friday,Mist,0.2,0.197,64.0,0.194,4,13,17,Weekday,High
140,2011-01-07,Spring,2011,January,1,No,Friday,Mist,0.2,0.197,69.0,0.2239,2,5,7,Weekday,High
141,2011-01-07,Spring,2011,January,2,No,Friday,Mist,0.2,0.197,69.0,0.2239,0,1,1,Weekday,High
142,2011-01-07,Spring,2011,January,4,No,Friday,Mist,0.2,0.2121,69.0,0.1343,0,1,1,Weekday,High
143,2011-01-07,Spring,2011,January,5,No,Friday,Light Rain,0.22,0.2727,55.00000000000001,0.0,0,5,5,Weekday,Normal
144,2011-01-07,Spring,2011,January,6,No,Friday,Mist,0.2,0.2576,69.0,0.0,8,26,34,Weekday,High
145,2011-01-07,Spring,2011,January,7,No,Friday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,Weekday,High
146,2011-01-07,Spring,2011,January,8,No,Friday,Clear,0.2,0.197,51.0,0.2537,20,190,210,Weekday,Normal
147,2011-01-07,Spring,2011,January,9,No,Friday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,Weekday,Normal
148,2011-01-07,Spring,2011,January,10,No,Friday,Clear,0.22,0.197,37.0,0.3284,16,47,63,Weekday,Normal
149,2011-01-07,Spring,2011,January,11,No,Friday,Mist,0.2,0.197,40.0,0.2239,19,48,67,Weekday,Normal
150,2011-01-07,Spring,2011,January,12,No,Friday,Mist,0.2,0.197,37.0,0.2537,9,50,59,Weekday,Normal
151,2011-01-07,Spring,2011,January,13,No,Friday,Mist,0.2,0.1818,37.0,0.2836,9,64,73,Weekday,Normal
152,2011-01-07,Spring,2011,January,14,No,Friday,Mist,0.2,0.197,40.0,0.2537,7,43,50,Weekday,Normal
153,2011-01-07,Spring,2011,January,15,No,Friday,Mist,0.2,0.2121,37.0,0.1642,9,63,72,Weekday,Normal
154,2011-01-07,Spring,2011,January,16,No,Friday,Mist,0.2,0.2121,37.0,0.1642,5,82,87,Weekday,Normal
155,2011-01-07,Spring,2011,January,17,No,Friday,Mist,0.2,0.2576,37.0,0.0,9,178,187,Weekday,Normal
156,2011-01-07,Spring,2011,January,18,No,Friday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,Weekday,Normal
157,2011-01-07,Spring,2011,January,19,No,Friday,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,Weekday,Normal
158,2011-01-07,Spring,2011,January,20,No,Friday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,Weekday,Normal
159,2011-01-07,Spring,2011,January,21,No,Friday,Clear,0.18,0.197,47.0,0.1343,0,39,39,Weekday,Normal
160,2011-01-07,Spring,2011,January,22,No,Friday,Mist,0.18,0.197,43.0,0.1642,2,34,36,Weekday,Normal
161,2011-01-07,Spring,2011,January,23,No,Friday,Mist,0.18,0.197,51.0,0.1642,1,14,15,Weekday,Normal
162,2011-01-08,Spring,2011,January,0,No,Saturday,Mist,0.18,0.197,51.0,0.1642,1,24,25,Weekend,Normal
163,2011-01-08,Spring,2011,January,1,No,Saturday,Mist,0.18,0.2121,55.00000000000001,0.0896,1,15,16,Weekend,Normal
164,2011-01-08,Spring,2011,January,2,No,Saturday,Mist,0.18,0.2424,55.00000000000001,0.0,3,13,16,Weekend,Normal
165,2011-01-08,Spring,2011,January,3,No,Saturday,Light Rain,0.18,0.197,55.00000000000001,0.1642,0,7,7,Weekend,Normal
166,2011-01-08,Spring,2011,January,4,No,Saturday,Light Rain,0.18,0.197,55.00000000000001,0.1642,0,1,1,Weekend,Normal
167,2011-01-08,Spring,2011,January,5,No,Saturday,Mist,0.16,0.1667,74.0,0.1642,0,5,5,Weekend,High
168,2011-01-08,Spring,2011,January,6,No,Saturday,Mist,0.16,0.1667,74.0,0.1642,0,2,2,Weekend,High
169,2011-01-08,Spring,2011,January,7,No,Saturday,Mist,0.16,0.1818,74.0,0.1045,1,8,9,Weekend,High
170,2011-01-08,Spring,2011,January,8,No,Saturday,Light Rain,0.16,0.1818,93.0,0.1045,0,15,15,Weekend,High
171,2011-01-08,Spring,2011,January,9,No,Saturday,Light Rain,0.16,0.1818,93.0,0.1045,0,20,20,Weekend,High
172,2011-01-08,Spring,2011,January,10,No,Saturday,Mist,0.18,0.197,80.0,0.1642,5,56,61,Weekend,High
173,2011-01-08,Spring,2011,January,11,No,Saturday,Mist,0.2,0.1818,69.0,0.3881,2,60,62,Weekend,High
174,2011-01-08,Spring,2011,January,12,No,Saturday,Mist,0.2,0.1818,59.0,0.3582,8,90,98,Weekend,Normal
175,2011-01-08,Spring,2011,January,13,No,Saturday,Clear,0.2,0.1818,44.0,0.3284,7,95,102,Weekend,Normal
176,2011-01-08,Spring,2011,January,14,No,Saturday,Clear,0.2,0.1667,32.0,0.4925,12,83,95,Weekend,Normal
177,2011-01-08,Spring,2011,January,15,No,Saturday,Clear,0.2,0.1667,32.0,0.4478,5,69,74,Weekend,Normal
178,2011-01-08,Spring,2011,January,16,No,Saturday,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,Weekend,Low
179,2011-01-08,Spring,2011,January,17,No,Saturday,Clear,0.16,0.1212,37.0,0.5522,5,64,69,Weekend,Normal
180,2011-01-08,Spring,2011,January,18,No,Saturday,Clear,0.14,0.1212,39.0,0.2985,3,52,55,Weekend,Normal
181,2011-01-08,Spring,2011,January,19,No,Saturday,Clear,0.14,0.1212,36.0,0.2537,4,26,30,Weekend,Normal
182,2011-01-08,Spring,2011,January,20,No,Saturday,Clear,0.12,0.1212,36.0,0.2537,0,28,28,Weekend,Normal
183,2011-01-08,Spring,2011,January,21,No,Saturday,Clear,0.12,0.1061,39.0,0.3582,2,35,37,Weekend,Normal
184,2011-01-08,Spring,2011,January,22,No,Saturday,Clear,0.12,0.1061,36.0,0.3881,1,33,34,Weekend,Normal
185,2011-01-08,Spring,2011,January,23,No,Saturday,Clear,0.1,0.0606,39.0,0.4478,0,22,22,Weekend,Normal
186,2011-01-09,Spring,2011,January,0,No,Sunday,Clear,0.1,0.0758,42.0,0.3881,1,24,25,Weekend,Normal
187,2011-01-09,Spring,2011,January,1,No,Sunday,Clear,0.1,0.0606,42.0,0.4627,0,12,12,Weekend,Normal
188,2011-01-09,Spring,2011,January,2,No,Sunday,Clear,0.1,0.0606,46.0,0.4627,0,11,11,Weekend,Normal
189,2011-01-09,Spring,2011,January,3,No,Sunday,Clear,0.1,0.0758,46.0,0.4179,0,4,4,Weekend,Normal
190,2011-01-09,Spring,2011,January,4,No,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,Weekend,Normal
191,2011-01-09,Spring,2011,January,5,No,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,Weekend,Normal
192,2011-01-09,Spring,2011,January,6,No,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,1,1,Weekend,Normal
193,2011-01-09,Spring,2011,January,7,No,Sunday,Clear,0.08,0.0909,53.0,0.194,1,5,6,Weekend,Normal
194,2011-01-09,Spring,2011,January,8,No,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,10,10,Weekend,Normal
195,2011-01-09,Spring,2011,January,9,No,Sunday,Clear,0.12,0.0758,46.0,0.5224,0,19,19,Weekend,Normal
196,2011-01-09,Spring,2011,January,10,No,Sunday,Clear,0.14,0.1061,43.0,0.3881,0,49,49,Weekend,Normal
197,2011-01-09,Spring,2011,January,11,No,Sunday,Clear,0.16,0.1212,40.0,0.5224,2,47,49,Weekend,Normal
198,2011-01-09,Spring,2011,January,12,No,Sunday,Clear,0.18,0.1364,37.0,0.4478,4,79,83,Weekend,Normal
199,2011-01-09,Spring,2011,January,13,No,Sunday,Clear,0.2,0.1667,34.0,0.4478,6,69,75,Weekend,Normal
200,2011-01-09,Spring,2011,January,14,No,Sunday,Clear,0.22,0.1818,32.0,0.4627,8,64,72,Weekend,Normal
201,2011-01-09,Spring,2011,January,15,No,Sunday,Clear,0.22,0.197,35.0,0.3582,5,77,82,Weekend,Normal
202,2011-01-09,Spring,2011,January,16,No,Sunday,Clear,0.2,0.1667,34.0,0.4478,13,79,92,Weekend,Normal
203,2011-01-09,Spring,2011,January,17,No,Sunday,Clear,0.18,0.1515,37.0,0.3881,3,59,62,Weekend,Normal
204,2011-01-09,Spring,2011,January,18,No,Sunday,Clear,0.16,0.1364,40.0,0.3284,4,44,48,Weekend,Normal
205,2011-01-09,Spring,2011,January,19,No,Sunday,Clear,0.16,0.1364,43.0,0.3284,1,40,41,Weekend,Normal
206,2011-01-09,Spring,2011,January,20,No,Sunday,Clear,0.14,0.1212,46.0,0.2537,0,38,38,Weekend,Normal
207,2011-01-09,Spring,2011,January,21,No,Sunday,Clear,0.14,0.1061,46.0,0.4179,1,19,20,Weekend,Normal
208,2011-01-09,Spring,2011,January,22,No,Sunday,Clear,0.14,0.1212,46.0,0.2985,5,10,15,Weekend,Normal
209,2011-01-09,Spring,2011,January,23,No,Sunday,Clear,0.12,0.1364,50.0,0.194,0,6,6,Weekend,Normal
210,2011-01-10,Spring,2011,January,0,No,Monday,Clear,0.12,0.1212,50.0,0.2836,2,3,5,Weekday,Normal
211,2011-01-10,Spring,2011,January,1,No,Monday,Clear,0.12,0.1212,50.0,0.2836,1,0,1,Weekday,Normal
212,2011-01-10,Spring,2011,January,2,No,Monday,Clear,0.12,0.1212,50.0,0.2239,0,3,3,Weekday,Normal
213,2011-01-10,Spring,2011,January,3,No,Monday,Clear,0.12,0.1212,50.0,0.2239,0,1,1,Weekday,Normal
214,2011-01-10,Spring,2011,January,4,No,Monday,Clear,0.1,0.1212,54.0,0.1343,1,2,3,Weekday,Normal
215,2011-01-10,Spring,2011,January,5,No,Monday,Clear,0.1,0.1061,54.0,0.2537,0,3,3,Weekday,Normal
216,2011-01-10,Spring,2011,January,6,No,Monday,Clear,0.12,0.1212,50.0,0.2836,0,31,31,Weekday,Normal
217,2011-01-10,Spring,2011,January,7,No,Monday,Clear,0.12,0.1212,50.0,0.2239,2,75,77,Weekday,Normal
218,2011-01-10,Spring,2011,January,8,No,Monday,Mist,0.12,0.1212,50.0,0.2836,4,184,188,Weekday,Normal
